AABL_correct,AABL_incorrect,refactored_correct,refactored_incorrect
0,200,0,200
0,200,0,200
1,199,1,199
2,198,2,198
2,198,2,198
2,198,2,198
2,198,2,198
3,197,3,197
3,197,3,197
4,196,4,196
5,195,5,195
6,194,5,195
7,193,5,195
8,192,5,195
9,191,6,194
9,191,6,194
10,190,7,193
11,189,8,192
12,188,9,191
13,187,10,190
13,187,10,190
14,186,11,189
15,185,12,188
15,185,12,188
16,184,13,187
16,184,14,186
17,183,15,185
17,183,16,184
17,183,17,183
18,182,18,182
19,181,19,181
19,181,20,180
20,180,21,179
20,180,22,178
20,180,23,177
21,179,24,176
21,179,25,175
22,178,26,174
22,178,27,173
23,177,28,172
23,177,29,171
24,176,30,170
24,176,30,170
25,175,31,169
25,175,32,168
25,175,33,167
26,174,34,166
27,173,35,165
28,172,36,164
28,172,37,163
29,171,38,162
30,170,39,161
30,170,40,160
31,169,41,159
31,169,42,158
31,169,43,157
31,169,44,156
31,169,45,155
31,169,46,154
31,169,47,153
31,169,48,152
31,169,49,151
31,169,50,150
31,169,51,149
31,169,52,148
31,169,53,147
31,169,54,146
31,169,55,145
31,169,56,144
31,169,57,143
31,169,58,142
31,169,59,141
31,169,60,140
31,169,61,139
31,169,62,138
31,169,63,137
31,169,64,136
31,169,65,135
31,169,66,134
31,169,67,133
31,169,68,132
31,169,69,131
31,169,70,130
31,169,71,129
31,169,72,128
31,169,73,127
31,169,74,126
31,169,75,125
31,169,76,124
31,169,77,123
31,169,78,122
31,169,79,121
31,169,80,120
31,169,81,119
31,169,82,118
31,169,83,117
31,169,84,116
31,169,85,115
31,169,86,114
31,169,87,113
31,169,88,112
31,169,89,111
31,169,90,110
31,169,91,109
31,169,92,108
31,169,93,107
31,169,94,106
31,169,95,105
31,169,96,104
31,169,97,103
31,169,98,102
31,169,99,101
31,169,100,100
31,169,101,99
31,169,102,98
31,169,103,97
31,169,104,96
31,169,105,95
31,169,106,94
31,169,107,93
31,169,108,92
31,169,109,91
31,169,110,90
31,169,111,89
31,169,112,88
31,169,113,87
31,169,114,86
31,169,115,85
31,169,116,84
31,169,117,83
31,169,118,82
31,169,119,81
31,169,120,80
31,169,121,79
31,169,122,78
31,169,123,77
31,169,124,76
31,169,125,75
31,169,126,74
31,169,127,73
31,169,128,72
31,169,129,71
31,169,130,70
31,169,131,69
31,169,132,68
31,169,133,67
31,169,134,66
31,169,135,65
31,169,136,64
31,169,137,63
31,169,138,62
31,169,139,61
31,169,140,60
31,169,141,59
31,169,142,58
31,169,143,57
31,169,144,56
31,169,145,55
31,169,146,54
31,169,147,53
31,169,148,52
31,169,149,51
31,169,150,50
31,169,151,49
31,169,152,48
31,169,153,47
31,169,154,46
31,169,155,45
31,169,156,44
31,169,157,43
31,169,158,42
31,169,159,41
31,169,160,40
31,169,161,39
31,169,162,38
31,169,163,37
31,169,164,36
31,169,165,35
