AABL_correct,AABL_incorrect,refactored_correct,refactored_incorrect
0,200,0,200
0,200,0,200
1,199,0,200
1,199,0,200
1,199,1,199
1,199,2,198
2,198,3,197
2,198,3,197
2,198,3,197
2,198,3,197
3,197,3,197
3,197,4,196
3,197,5,195
4,196,6,194
4,196,6,194
5,195,7,193
5,195,7,193
6,194,7,193
7,193,8,192
7,193,8,192
7,193,9,191
8,192,9,191
8,192,9,191
8,192,9,191
9,191,9,191
9,191,9,191
9,191,9,191
9,191,10,190
9,191,11,189
9,191,12,188
9,191,12,188
9,191,12,188
10,190,12,188
11,189,13,187
11,189,13,187
12,188,14,186
12,188,14,186
13,187,15,185
13,187,15,185
14,186,16,184
15,185,17,183
16,184,18,182
17,183,19,181
18,182,20,180
18,182,20,180
19,181,21,179
20,180,22,178
20,180,22,178
20,180,22,178
21,179,23,177
22,178,24,176
23,177,25,175
23,177,25,175
24,176,26,174
25,175,27,173
25,175,27,173
26,174,28,172
27,173,29,171
27,173,29,171
27,173,29,171
28,172,30,170
28,172,30,170
28,172,30,170
28,172,30,170
29,171,31,169
30,170,32,168
31,169,33,167
32,168,34,166
32,168,34,166
33,167,35,165
34,166,36,164
34,166,36,164
34,166,36,164
35,165,37,163
35,165,37,163
36,164,38,162
36,164,38,162
37,163,39,161
37,163,39,161
37,163,39,161
38,162,40,160
39,161,41,159
40,160,42,158
41,159,43,157
41,159,43,157
42,158,44,156
43,157,45,155
43,157,45,155
44,156,46,154
45,155,47,153
45,155,47,153
46,154,48,152
46,154,48,152
47,153,49,151
48,152,50,150
49,151,51,149
50,150,52,148
50,150,52,148
51,149,53,147
52,148,54,146
53,147,55,145
53,147,55,145
54,146,56,144
54,146,56,144
55,145,57,143
56,144,58,142
57,143,59,141
57,143,59,141
58,142,60,140
59,141,61,139
59,141,61,139
60,140,62,138
61,139,63,137
62,138,64,136
63,137,65,135
64,136,66,134
64,136,66,134
65,135,67,133
66,134,68,132
67,133,69,131
68,132,70,130
68,132,70,130
69,131,71,129
70,130,72,128
71,129,73,127
72,128,74,126
72,128,74,126
72,128,74,126
72,128,74,126
72,128,74,126
73,127,75,125
74,126,76,124
75,125,77,123
76,124,78,122
77,123,79,121
78,122,80,120
79,121,81,119
80,120,82,118
81,119,83,117
82,118,84,116
83,117,85,115
84,116,86,114
84,116,86,114
85,115,87,113
85,115,87,113
86,114,88,112
87,113,89,111
88,112,90,110
89,111,91,109
89,111,91,109
89,111,91,109
90,110,92,108
91,109,93,107
91,109,93,107
92,108,94,106
93,107,95,105
94,106,96,104
94,106,96,104
95,105,97,103
96,104,98,102
96,104,98,102
97,103,99,101
97,103,99,101
98,102,100,100
99,101,101,99
100,100,102,98
101,99,103,97
101,99,103,97
102,98,104,96
103,97,105,95
104,96,106,94
105,95,107,93
106,94,108,92
107,93,109,91
108,92,110,90
109,91,111,89
109,91,111,89
110,90,112,88
