AABL_correct,AABL_incorrect,refactored_correct,refactored_incorrect
0,200,0,200
0,200,0,200
0,200,0,200
0,200,0,200
0,200,0,200
0,200,0,200
0,200,1,199
1,199,2,198
1,199,3,197
2,198,4,196
3,197,5,195
3,197,5,195
3,197,5,195
3,197,5,195
3,197,5,195
3,197,5,195
3,197,5,195
3,197,5,195
4,196,5,195
4,196,5,195
5,195,6,194
5,195,6,194
6,194,7,193
6,194,8,192
6,194,8,192
6,194,8,192
6,194,8,192
6,194,8,192
6,194,8,192
6,194,9,191
7,193,10,190
7,193,10,190
7,193,11,189
8,192,12,188
8,192,12,188
8,192,13,187
8,192,14,186
8,192,14,186
8,192,15,185
9,191,16,184
10,190,17,183
10,190,17,183
10,190,17,183
10,190,17,183
10,190,18,182
10,190,18,182
10,190,18,182
11,189,18,182
12,188,19,181
12,188,19,181
12,188,19,181
12,188,19,181
13,187,20,180
14,186,21,179
15,185,21,179
15,185,21,179
15,185,21,179
16,184,22,178
16,184,22,178
16,184,22,178
16,184,22,178
17,183,22,178
18,182,22,178
19,181,22,178
20,180,23,177
20,180,23,177
21,179,24,176
21,179,24,176
21,179,24,176
22,178,25,175
22,178,25,175
22,178,25,175
22,178,25,175
23,177,26,174
24,176,27,173
25,175,28,172
25,175,28,172
25,175,28,172
26,174,28,172
26,174,28,172
26,174,28,172
26,174,28,172
26,174,28,172
26,174,28,172
26,174,28,172
26,174,28,172
27,173,29,171
27,173,29,171
28,172,30,170
29,171,31,169
29,171,31,169
29,171,31,169
29,171,31,169
30,170,32,168
31,169,33,167
31,169,33,167
32,168,34,166
32,168,34,166
32,168,34,166
33,167,35,165
33,167,35,165
33,167,35,165
33,167,35,165
33,167,35,165
33,167,35,165
33,167,36,164
33,167,36,164
33,167,36,164
33,167,36,164
33,167,36,164
33,167,36,164
33,167,37,163
34,166,37,163
35,165,37,163
35,165,37,163
35,165,38,162
35,165,38,162
35,165,38,162
35,165,39,161
35,165,39,161
35,165,39,161
35,165,40,160
35,165,41,159
35,165,41,159
35,165,41,159
35,165,41,159
35,165,41,159
35,165,41,159
35,165,42,158
35,165,43,157
36,164,44,156
36,164,44,156
36,164,44,156
36,164,44,156
37,163,45,155
37,163,45,155
37,163,45,155
37,163,45,155
37,163,45,155
37,163,46,154
37,163,46,154
37,163,46,154
37,163,46,154
37,163,47,153
37,163,48,152
37,163,48,152
37,163,48,152
37,163,48,152
38,162,49,151
38,162,49,151
39,161,50,150
40,160,50,150
40,160,50,150
40,160,50,150
40,160,51,149
41,159,52,148
41,159,52,148
41,159,52,148
41,159,53,147
42,158,54,146
42,158,55,145
43,157,56,144
43,157,56,144
43,157,56,144
43,157,56,144
44,156,56,144
45,155,56,144
45,155,56,144
46,154,56,144
46,154,57,143
47,153,58,142
47,153,58,142
47,153,58,142
47,153,58,142
48,152,59,141
48,152,59,141
48,152,60,140
48,152,61,139
