AABL_correct,refactored_correct
0,0
0,0
0,0
0,0
1,1
2,1
3,2
3,3
3,3
3,3
4,3
5,4
5,4
5,4
6,5
6,5
6,5
7,6
8,6
8,6
9,6
9,6
9,6
10,7
10,7
10,7
11,8
12,9
12,9
13,10
14,11
15,12
16,13
16,13
16,13
16,13
17,13
17,13
17,13
18,13
19,14
20,15
20,15
20,16
20,16
20,16
20,16
20,16
20,16
21,17
21,17
22,18
23,19
23,19
24,19
25,20
26,21
27,22
28,22
28,22
29,22
30,23
30,23
30,23
30,23
31,24
32,25
32,25
33,26
33,26
33,26
34,27
35,28
36,29
36,29
37,30
38,31
39,32
39,32
40,33
40,33
41,34
42,35
42,35
43,36
43,36
43,36
43,36
43,36
44,37
44,37
44,37
44,37
45,38
46,39
47,40
48,41
49,42
50,43
51,44
52,45
52,45
53,46
54,47
54,47
55,48
55,48
56,49
56,49
57,50
57,50
58,51
59,52
59,52
60,53
61,54
62,55
63,56
63,56
63,56
64,57
65,58
65,58
66,59
66,59
67,60
68,61
69,62
70,63
71,64
71,64
72,65
73,66
74,67
74,67
74,67
74,67
75,68
76,69
76,69
77,70
78,71
79,72
80,73
81,74
82,75
83,76
84,77
85,78
86,79
87,80
87,80
87,80
87,80
88,81
89,82
90,83
91,84
92,85
92,85
92,85
93,86
94,87
94,87
95,88
96,89
97,90
97,90
98,91
99,92
100,93
101,94
102,95
103,96
104,97
105,98
106,99
107,100
108,101
109,102
110,103
111,104
112,105
112,105
113,106
114,107
115,108
116,109
117,110
118,111
119,112
120,113
120,113
121,114
122,115
123,116
123,116
124,117
124,117
125,118
0,0
0,0
1,1
2,2
2,2
2,2
3,3
4,4
4,4
4,4
4,4
4,4
5,5
5,5
6,5
7,6
8,7
8,7
8,7
8,7
9,7
9,7
9,8
9,8
10,8
10,8
10,8
11,9
11,9
12,10
12,10
12,10
13,11
13,11
13,11
13,12
14,13
14,13
15,13
15,13
15,13
16,14
17,14
18,15
18,15
18,15
18,15
18,16
18,16
18,16
18,16
18,17
18,17
18,17
19,17
19,17
19,17
19,17
20,17
21,18
21,18
21,18
22,19
22,19
23,20
24,21
25,22
26,23
26,23
27,24
27,24
28,25
28,25
28,25
29,26
30,27
31,28
32,29
32,29
32,29
33,30
33,30
34,31
35,32
36,33
36,33
37,34
37,34
38,35
38,35
39,36
40,37
41,38
42,39
43,40
44,41
45,42
46,43
47,44
48,45
49,46
50,47
51,48
51,48
52,49
53,50
54,51
55,52
55,52
56,53
57,54
58,55
59,56
60,57
61,58
62,59
63,60
64,61
65,62
66,63
66,63
66,63
66,63
66,63
67,64
68,65
69,66
70,67
71,68
72,69
73,70
73,70
74,71
75,72
76,73
77,74
