AABL_correct,refactored_correct
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,1
1,2
2,3
3,4
3,4
4,5
4,6
5,7
6,8
7,8
7,9
7,9
7,9
7,9
7,9
8,10
8,10
8,10
8,10
8,10
9,11
9,11
9,12
9,13
9,13
9,13
9,14
9,14
9,14
9,14
10,15
11,16
11,16
12,16
13,16
14,17
15,18
16,18
17,19
17,19
18,20
19,20
20,21
21,22
21,22
22,23
22,23
23,23
24,23
25,23
25,23
26,23
27,23
27,23
28,24
28,24
29,25
30,25
30,25
30,25
30,25
30,25
31,25
32,25
33,26
33,26
33,26
33,26
34,26
35,26
35,26
36,27
37,28
37,29
37,29
38,30
39,31
39,31
40,31
41,31
42,32
42,32
43,32
44,32
45,33
46,33
47,33
48,33
48,34
48,34
49,35
50,35
50,36
51,36
52,37
52,37
53,37
53,38
54,38
55,38
55,38
56,38
57,38
58,38
58,38
58,38
59,39
59,39
59,39
60,39
61,39
61,40
62,40
62,40
63,40
64,41
64,41
65,41
66,41
67,41
68,42
68,42
68,42
69,42
70,43
71,43
72,43
72,43
73,44
73,44
74,45
74,46
75,47
76,48
77,48
78,49
79,50
80,51
81,52
82,52
82,52
83,52
84,52
85,52
86,52
87,52
88,52
89,53
90,53
91,54
91,55
92,56
93,56
93,56
94,57
94,57
95,58
96,59
97,59
98,60
99,60
100,61
101,62
102,63
102,63
103,63
104,63
105,64
106,65
107,66
108,67
109,68
110,68
111,69
112,69
113,70
114,71
115,72
116,73
117,73
118,73
119,74
119,74
119,74
119,74
119,74
120,74
121,75
122,75
123,76
124,76
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
2,0
2,0
3,1
3,1
3,2
4,3
5,4
6,4
6,4
6,4
7,5
7,5
7,5
7,5
7,5
8,6
8,7
8,7
9,8
9,8
9,8
9,9
9,9
9,9
9,10
9,10
9,10
9,10
9,11
10,11
11,12
11,12
11,12
11,12
11,13
11,14
12,14
12,14
12,14
12,14
13,15
14,15
15,16
15,16
15,16
15,16
15,16
15,16
15,16
15,17
16,18
17,19
18,20
19,21
19,21
19,21
19,21
19,22
20,22
20,22
21,22
22,22
23,23
24,24
24,24
25,25
25,25
26,25
27,25
28,26
28,26
29,27
29,27
29,27
30,27
30,28
30,29
30,30
31,30
31,31
31,31
31,31
31,31
32,32
33,33
33,33
34,33
35,34
36,35
37,35
37,36
37,37
38,37
38,37
39,38
40,38
40,38
41,38
42,38
42,38
42,38
43,39
43,39
44,39
44,39
44,40
45,41
45,41
46,42
46,42
47,42
48,42
49,42
50,43
51,43
52,43
53,43
54,44
55,45
55,46
56,47
56,47
57,47
58,48
58,48
59,48
60,48
